"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"Ensemble_Mean",6,"Ensemble",90,0.0110863348777822,0.00774955443448454,0.00659251986914856,0.307849465737548,"cumulative_log_change",1.25179905909492,0.884586944723642,0.762015990794897,0.78784787553151,1.6020188461993,0.0110863348777822,0.00774955443448454,0.00659251986914856,0.307849465737548
"ElasticNet",6,"Regularization",90,0.0115510232533049,0.00800435751500839,0.00629269200154567,0.143245257649915,"cumulative_log_change",1.29928010353696,0.908585679078689,0.72524106380042,0.813565907282113,1.65394519352719,0.0115510232533049,0.00800435751500839,0.00629269200154567,0.143245257649915
"LASSO",6,"Regularization",90,0.0115717253458487,0.00802897208134519,0.00630302378760928,0.145207195688836,"cumulative_log_change",1.30124009910488,0.911401171228717,0.726620361651915,0.816044880866108,1.65894013847309,0.0115717253458487,0.00802897208134519,0.00630302378760928,0.145207195688836
"Factor",6,"Factor",90,0.0120711765213857,0.00845561138217999,0.00515975202064016,0.0988042395813469,"cumulative_log_change",1.33715988446565,0.953138330412584,0.598714368239738,0.858254303387295,1.74249897038784,0.0120711765213857,0.00845561138217999,0.00515975202064016,0.0988042395813469
"Ridge",6,"Regularization",90,0.0130169837688543,0.00884498614564979,0.00645791256932073,0.123737806825895,"cumulative_log_change",1.4400440300946,0.997485268252707,0.742647030840421,0.897725323188208,1.82256294247263,0.0130169837688543,0.00884498614564979,0.00645791256932073,0.123737806825895
"RW",6,"Baseline",90,0.0184929603709146,0.0159922478272464,0.0159499392328829,,"cumulative_log_change",2.12945276486185,1.84872222222223,1.84432222222223,1.61647008637518,3.26802857238661,0.0184929603709146,0.0159922478272464,0.0159499392328829,
"BorutaRF",12,"FeatureSelection+Tree",90,0.0179386864408447,0.0120459767073283,0.00612251551730847,0.293013173681912,"cumulative_log_change",2.02531075489935,1.37386502687853,0.681389422910875,1.24860594269986,1.24860594269986,0.0179386864408447,0.0120459767073283,0.00612251551730847,0.293013173681912
"XGBoost",12,"Boosting",90,0.0184482876180752,0.0121705103418268,0.00757370473399895,0.294663919386767,"cumulative_log_change",2.08539635329648,1.38717539119463,0.84636164004602,1.26170261496548,1.26170261496548,0.0184482876180752,0.0121705103418268,0.00757370473399895,0.294663919386767
"RandomForest",12,"Tree",90,0.0185858581849059,0.0118557092053018,0.00820544543830717,0.276070252433095,"cumulative_log_change",2.09545649624602,1.34704831090778,0.929362383911151,1.22869022171416,1.22869022171416,0.0185858581849059,0.0118557092053018,0.00820544543830717,0.276070252433095
"Ensemble_InvRMSE",12,"Ensemble",90,0.0198211285722538,0.0126865122027171,0.0110067936106674,0.285231404001447,"cumulative_log_change",2.24272303240071,1.44476585429976,1.26187865272664,1.31379445916594,1.31379445916594,0.0198211285722538,0.0126865122027171,0.0110067936106674,0.285231404001447
"Ensemble_Median",12,"Ensemble",90,0.0202757980356106,0.0132763291361526,0.0109962654333583,0.166043501895658,"cumulative_log_change",2.29412734253691,1.51015092759643,1.26214130985871,1.37410851075458,1.37410851075458,0.0202757980356106,0.0132763291361526,0.0109962654333583,0.166043501895658
"LASSO",12,"Regularization",90,0.0204178802507162,0.0138202712267504,0.0108411659464058,0.180192792536705,"cumulative_log_change",2.31717363298635,1.57940841308315,1.24081676997577,1.42926565739194,1.42926565739194,0.0204178802507162,0.0138202712267504,0.0108411659464058,0.180192792536705
"Ridge",12,"Regularization",90,0.0205135374878665,0.0131536695400764,0.0109998021268166,0.189035210017313,"cumulative_log_change",2.31752314619885,1.4949418591209,1.26153243852585,1.36050107672502,1.36050107672502,0.0205135374878665,0.0131536695400764,0.0109998021268166,0.189035210017313
"Ensemble_Mean",12,"Ensemble",90,0.020504224350585,0.0133375580385481,0.0119097461580561,0.24272349042577,"cumulative_log_change",2.32048761755755,1.52134015371897,1.36795365840852,1.38031973717772,1.38031973717772,0.020504224350585,0.0133375580385481,0.0119097461580561,0.24272349042577
"ElasticNet",12,"Regularization",90,0.0204920794408179,0.0138072870880555,0.0109545553596974,0.176807531950367,"cumulative_log_change",2.3242123058678,1.57704759543152,1.25352896313588,1.42789704213734,1.42789704213734,0.0204920794408179,0.0138072870880555,0.0109545553596974,0.176807531950367
"AR(4)",12,"Baseline",90,0.0208107592615171,0.0145337337082409,0.0106709716540071,-0.179952231349554,"cumulative_log_change",2.35570766291137,1.65132804994887,1.24384903782665,1.50243446385754,1.50243446385754,0.0208107592615171,0.0145337337082409,0.0106709716540071,-0.179952231349554
