"horizon","model","model_family","n_evaluation","RMSE","MAE","bias","correlation","benchmark_RMSE","benchmark_MAE","relative_RMSE","relative_MAE","RMSE_rank","MAE_rank"
3,"Ridge","Regularization",90,0.0202416963950404,0.00885717099507313,-0.000644758028955204,-0.326128478628705,0.0289500920112682,0.0128220497177866,0.699192817320296,0.690776528715729,4,2
3,"ElasticNet","Regularization",90,0.0210650241753878,0.00890792534867371,-0.000443777140171209,-0.281446918158508,0.0289500920112682,0.0128220497177866,0.727632373920909,0.694734893775737,5,3
3,"Ensemble_Median","Ensemble",90,0.0210798262552654,0.00898478744355905,-0.000394863656090417,-0.284302841341555,0.0289500920112682,0.0128220497177866,0.728143670391807,0.700729418565227,6,7
3,"Ensemble_Mean","Ensemble",90,0.0210875117217716,0.00896796852853789,-0.000209642224402074,-0.273295703079814,0.0289500920112682,0.0128220497177866,0.728409143347931,0.699417700439705,7,6
3,"Ensemble_InvRMSE","Ensemble",90,0.0211029534898194,0.00895089700449784,-0.000170361410331455,-0.271380764889703,0.0289500920112682,0.0128220497177866,0.728942536058451,0.698086281172444,8,4
3,"LASSO","Regularization",90,0.0212468534943781,0.00895445670749519,-0.0003809899989949,-0.283607077897506,0.0289500920112682,0.0128220497177866,0.733913159450692,0.698363904725284,9,5
3,"AR(4)","Baseline",90,0.0214896478462219,0.00932409384394554,-4.19977398892128e-05,-0.194780328415412,0.0289500920112682,0.0128220497177866,0.742299811615712,0.727192145496929,10,9
3,"Factor","Factor",90,0.0241124358974146,0.0100816534644765,0.000192755301414205,-0.27505647403484,0.0289500920112682,0.0128220497177866,0.832896692971798,0.786274713199039,11,11
3,"RW","Baseline",90,0.0289500920112682,0.0128220497177866,7.20548659593787e-05,-0.183311747471381,0.0289500920112682,0.0128220497177866,1,1,12,12
6,"Ensemble_Median","Ensemble",90,0.0189189761708,0.00837963417777477,-0.00130446009458161,0.0337792761976111,0.0262312756974962,0.0125488898531853,0.721237365234425,0.667759003052188,1,1
6,"RandomForest","Tree",90,0.0190552253511376,0.0088725989258117,-0.000133252928398755,0.0017327411682397,0.0262312756974962,0.0125488898531853,0.726431515221978,0.707042537596226,2,4
6,"XGBoost","Boosting",90,0.019169927332082,0.00877360801626281,-0.00097249878212708,-0.0379205541902361,0.0262312756974962,0.0125488898531853,0.730804233585627,0.699154117926676,3,3
6,"Ridge","Regularization",90,0.0193256993780055,0.00853883047603257,-0.00130790205784576,-0.0468750802161672,0.0262312756974962,0.0125488898531853,0.73674264267102,0.680445089241509,4,2
6,"Ensemble_Mean","Ensemble",90,0.0194201989022755,0.00898672474531236,-0.000583478801386355,0.0616300773380635,0.0262312756974962,0.0125488898531853,0.740345194272393,0.716137032873169,5,6
6,"Ensemble_InvRMSE","Ensemble",90,0.0194310875000405,0.00899697746626653,-0.000556232895171849,0.0607004696451933,0.0262312756974962,0.0125488898531853,0.740760294090281,0.71695405502207,6,7
6,"AR(4)","Baseline",90,0.0195185431377454,0.00887987057400686,-0.00109025074618664,0.0290172367657158,0.0262312756974962,0.0125488898531853,0.744094315611516,0.70762200305335,7,5
6,"BorutaRF","FeatureSelection+Tree",90,0.0199468772736458,0.00994404623696906,-0.00020716992071899,-0.0609825257511863,0.0262312756974962,0.0125488898531853,0.760423454187921,0.792424378037307,8,10
6,"Factor","Factor",90,0.0204273015484916,0.00960367270980046,-0.000787877595713726,0.00134702200969385,0.0262312756974962,0.0125488898531853,0.778738395496386,0.765300582135775,9,8
