"target_code","horizon","target_name","model","model_family","winner_windows_fractional","winner_window_appearances","total_windows","winner_frequency_fractional","winner_appearance_rate"
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","RandomForest","Tree",3,3,77,0.038961038961039,0.038961038961039
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","LASSO","Regularization",2.5,4,77,0.0324675324675325,0.051948051948052
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","XGBoost","Boosting",2,2,77,0.025974025974026,0.025974025974026
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","BorutaRF","FeatureSelection+Tree",1,1,77,0.012987012987013,0.012987012987013
"INDPRO",1,"Industrial Production Index [INDPRO]","XGBoost","Boosting",21,21,79,0.265822784810127,0.265822784810127
"INDPRO",1,"Industrial Production Index [INDPRO]","BorutaRF","FeatureSelection+Tree",16,16,79,0.20253164556962,0.20253164556962
"INDPRO",1,"Industrial Production Index [INDPRO]","AR(4)","Baseline",10,10,79,0.126582278481013,0.126582278481013
"INDPRO",1,"Industrial Production Index [INDPRO]","Factor","Factor",10,10,79,0.126582278481013,0.126582278481013
"INDPRO",1,"Industrial Production Index [INDPRO]","LASSO","Regularization",10,10,79,0.126582278481013,0.126582278481013
"INDPRO",1,"Industrial Production Index [INDPRO]","ElasticNet","Regularization",7,7,79,0.0886075949367089,0.0886075949367089
"INDPRO",1,"Industrial Production Index [INDPRO]","Ensemble_Median","Ensemble",3,3,79,0.0379746835443038,0.0379746835443038
"INDPRO",1,"Industrial Production Index [INDPRO]","RandomForest","Tree",1,1,79,0.0126582278481013,0.0126582278481013
"INDPRO",1,"Industrial Production Index [INDPRO]","RW","Baseline",1,1,79,0.0126582278481013,0.0126582278481013
"INDPRO",3,"Industrial Production Index [INDPRO]","AR(4)","Baseline",24,24,79,0.30379746835443,0.30379746835443
"INDPRO",3,"Industrial Production Index [INDPRO]","XGBoost","Boosting",23,23,79,0.291139240506329,0.291139240506329
"INDPRO",3,"Industrial Production Index [INDPRO]","BorutaRF","FeatureSelection+Tree",10,10,79,0.126582278481013,0.126582278481013
"INDPRO",3,"Industrial Production Index [INDPRO]","RW","Baseline",7,7,79,0.0886075949367089,0.0886075949367089
"INDPRO",3,"Industrial Production Index [INDPRO]","LASSO","Regularization",6,6,79,0.0759493670886076,0.0759493670886076
"INDPRO",3,"Industrial Production Index [INDPRO]","ElasticNet","Regularization",4,4,79,0.0506329113924051,0.0506329113924051
"INDPRO",3,"Industrial Production Index [INDPRO]","Ensemble_Mean","Ensemble",3,3,79,0.0379746835443038,0.0379746835443038
"INDPRO",3,"Industrial Production Index [INDPRO]","Ensemble_InvRMSE","Ensemble",2,2,79,0.0253164556962025,0.0253164556962025
"INDPRO",6,"Industrial Production Index [INDPRO]","AR(4)","Baseline",16,16,79,0.20253164556962,0.20253164556962
"INDPRO",6,"Industrial Production Index [INDPRO]","RW","Baseline",15,15,79,0.189873417721519,0.189873417721519
"INDPRO",6,"Industrial Production Index [INDPRO]","Ridge","Regularization",12,12,79,0.151898734177215,0.151898734177215
"INDPRO",6,"Industrial Production Index [INDPRO]","Ensemble_InvRMSE","Ensemble",7,7,79,0.0886075949367089,0.0886075949367089
"INDPRO",6,"Industrial Production Index [INDPRO]","Ensemble_Mean","Ensemble",7,7,79,0.0886075949367089,0.0886075949367089
"INDPRO",6,"Industrial Production Index [INDPRO]","XGBoost","Boosting",7,7,79,0.0886075949367089,0.0886075949367089
"INDPRO",6,"Industrial Production Index [INDPRO]","Ensemble_Median","Ensemble",5,5,79,0.0632911392405063,0.0632911392405063
"INDPRO",6,"Industrial Production Index [INDPRO]","BorutaRF","FeatureSelection+Tree",4,4,79,0.0506329113924051,0.0506329113924051
"INDPRO",6,"Industrial Production Index [INDPRO]","ElasticNet","Regularization",2,2,79,0.0253164556962025,0.0253164556962025
"INDPRO",6,"Industrial Production Index [INDPRO]","Factor","Factor",2,2,79,0.0253164556962025,0.0253164556962025
"INDPRO",6,"Industrial Production Index [INDPRO]","RandomForest","Tree",2,2,79,0.0253164556962025,0.0253164556962025
"INDPRO",12,"Industrial Production Index [INDPRO]","XGBoost","Boosting",25,25,79,0.316455696202532,0.316455696202532
"INDPRO",12,"Industrial Production Index [INDPRO]","RW","Baseline",12,12,79,0.151898734177215,0.151898734177215
"INDPRO",12,"Industrial Production Index [INDPRO]","Ensemble_InvRMSE","Ensemble",9,9,79,0.113924050632911,0.113924050632911
"INDPRO",12,"Industrial Production Index [INDPRO]","Ensemble_Mean","Ensemble",8,8,79,0.10126582278481,0.10126582278481
"INDPRO",12,"Industrial Production Index [INDPRO]","Factor","Factor",7,7,79,0.0886075949367089,0.0886075949367089
"INDPRO",12,"Industrial Production Index [INDPRO]","RandomForest","Tree",5,5,79,0.0632911392405063,0.0632911392405063
"INDPRO",12,"Industrial Production Index [INDPRO]","AR(4)","Baseline",4,4,79,0.0506329113924051,0.0506329113924051
"INDPRO",12,"Industrial Production Index [INDPRO]","ElasticNet","Regularization",3,6,79,0.0379746835443038,0.0759493670886076
"INDPRO",12,"Industrial Production Index [INDPRO]","LASSO","Regularization",3,6,79,0.0379746835443038,0.0759493670886076
"INDPRO",12,"Industrial Production Index [INDPRO]","Ridge","Regularization",2,2,79,0.0253164556962025,0.0253164556962025
"INDPRO",12,"Industrial Production Index [INDPRO]","BorutaRF","FeatureSelection+Tree",1,1,79,0.0126582278481013,0.0126582278481013
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","BorutaRF","FeatureSelection+Tree",24,24,79,0.30379746835443,0.30379746835443
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","RW","Baseline",17,17,79,0.215189873417722,0.215189873417722
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","XGBoost","Boosting",17,17,79,0.215189873417722,0.215189873417722
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","RandomForest","Tree",11,11,79,0.139240506329114,0.139240506329114
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","Ridge","Regularization",5,5,79,0.0632911392405063,0.0632911392405063
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","LASSO","Regularization",2,2,79,0.0253164556962025,0.0253164556962025
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","AR(4)","Baseline",1,1,79,0.0126582278481013,0.0126582278481013
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","ElasticNet","Regularization",1,1,79,0.0126582278481013,0.0126582278481013
"PCEPI",1,"Personal Consumption Expenditures Price Index [PCEPI]","Ensemble_InvRMSE","Ensemble",1,1,79,0.0126582278481013,0.0126582278481013
"PCEPI",3,"Personal Consumption Expenditures Price Index [PCEPI]","BorutaRF","FeatureSelection+Tree",35,35,79,0.443037974683544,0.443037974683544
