"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message","target_code","target_name"
"monthly_transformed","Target-month transformed change",3,"SE","Ensemble_InvRMSE","Ensemble",88,1.03747624090358e-05,3,TRUE,,0.949,0.9938,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","AR(4)","Baseline",88,1.04724875970369e-05,4,TRUE,,0.9494,0.9938,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RandomForest","Tree",88,1.05812291418764e-05,5,TRUE,,0.9938,0.9938,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","BorutaRF","FeatureSelection+Tree",88,1.06833213520861e-05,6,TRUE,,0.9772,0.9938,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","Ensemble_Median","Ensemble",88,1.11625345780952e-05,7,TRUE,,0.674,0.8246,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","ElasticNet","Regularization",88,1.11696206445945e-05,8,TRUE,,0.66,0.8246,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","LASSO","Regularization",88,1.12780845426909e-05,9,TRUE,,0.6286,0.8246,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","RW","Baseline",88,1.30596199640384e-05,10,TRUE,,0.8246,0.8246,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","Ridge","Regularization",88,1.36581589945476e-05,11,TRUE,,0.5206,0.5206,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",3,"SE","Factor","Factor",88,1.71157944757919e-05,12,TRUE,,0.635,0.635,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,4,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
