"track","track_label","horizon","loss","benchmark_model","model","model_family","n_evaluation","mean_model_loss","mean_benchmark_loss","mean_loss_difference","relative_loss","dm_statistic","dm_p_value","dm_p_value_adjusted","p_adjust_method","significance_level","significant_better","significant_worse","conclusion","dm_test_status","status_message","target_code","target_name"
"monthly_transformed","Target-month transformed change",6,"SE","RW","BorutaRF","FeatureSelection+Tree",88,9.9163721614476e-06,1.34109719090738e-05,-3.49459974762625e-06,0.739422334837506,-1.16197877194249,0.248421908934833,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","Ensemble_Median","Ensemble",88,1.03280783722286e-05,1.34109719090738e-05,-3.08289353684521e-06,0.770121542439491,-0.779011587314516,0.438086722404716,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","XGBoost","Boosting",88,1.04274099290559e-05,1.34109719090738e-05,-2.98356198001796e-06,0.777528280556662,-0.746344215594447,0.457471561360772,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","AR(4)","Baseline",88,1.06000395497635e-05,1.34109719090738e-05,-2.81093235931037e-06,0.790400548269847,-0.67933859661033,0.498726780121559,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","LASSO","Regularization",88,1.12674814101713e-05,1.34109719090738e-05,-2.14349049890259e-06,0.840168892050821,-0.547195037224735,0.585645685196003,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","ElasticNet","Regularization",88,1.15168083916647e-05,1.34109719090738e-05,-1.89416351740911e-06,0.858760160691447,-0.486786205869779,0.627633979612202,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","Factor","Factor",88,1.16173202972692e-05,1.34109719090738e-05,-1.79365161180462e-06,0.866254912472747,-0.477043856870305,0.634527039499647,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"SE","RW","Ridge","Regularization",88,1.35919518133011e-05,1.34109719090738e-05,1.80979904227252e-07,1.01349491337796,0.0425686212108598,0.966142955358781,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","RandomForest","Tree",88,0.00225835289461289,0.00277569199637842,-0.00051733910176553,0.813617972584665,-1.330373041656,0.186872174490705,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",6,"AE","RW","AR(4)","Baseline",88,0.00226911129560062,0.00277569199637842,-0.000506580700777806,0.817493907307163,-1.13304274289101,0.260309152395637,1,"holm",0.05,FALSE,FALSE,"No significant difference","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
