"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"RW","Baseline","AE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_Mean","Ensemble","SE",88,0.000240956960309737,0.000558505081273871,0.000317548120964134,0.681818181818182,12,0.708495381009317,0.908375640833311
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"XGBoost","Boosting","SE",88,0.00024021490294175,0.000657185975989897,0.000416971073048147,0.659090909090909,12,0.752958438707482,0.913324875008504
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_InvRMSE","Ensemble","SE",88,0.000236267464840228,0.000559579612242894,0.000323312147402667,0.681818181818182,12,0.710404375952064,0.904586400150478
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"AR(4)","Baseline","SE",88,0.000227667648296135,0.000668639461113973,0.000440971812817838,0.625,12,0.773306553010572,0.899684083026782
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"RandomForest","Tree","SE",88,0.000218098392350257,0.000581111235169078,0.000363012842818821,0.625,12,0.757145184133731,0.818647078527199
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"BorutaRF","FeatureSelection+Tree","SE",88,0.000209114277851803,0.000620308075628939,0.000411193797777137,0.590909090909091,12,0.771728051937126,0.821992744315598
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_Median","Ensemble","SE",88,0.000166943513963004,0.000578514232390871,0.000411570718427867,0.659090909090909,12,0.721369618616414,0.919258097745016
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"ElasticNet","Regularization","SE",88,0.000166319940111059,0.000587682424217322,0.000421362484106263,0.659090909090909,12,0.720056561084181,0.916382308807366
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"LASSO","Regularization","SE",88,0.000156775117078581,0.000577125655018713,0.000420350537940131,0.659090909090909,12,0.716232031461087,0.918637472185918
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"RW","Baseline","SE",88,0,0,0,0,12,,
