"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"XGBoost",3,"Boosting",84,2.06603559116115,0.81222453659866,-0.0188239102041171,-0.125733919229665,"cumulative_arithmetic_change",2.06603559116115,0.81222453659866,-0.0188239102041171,16.3987310778259,654.007564213736,,,,
"BorutaRF",3,"FeatureSelection+Tree",84,2.14520605645006,0.852392923280423,-0.0800337962962963,-0.193932268087567,"cumulative_arithmetic_change",2.14520605645006,0.852392923280423,-0.0800337962962962,16.7047266468518,656.172193462163,,,,
"Ensemble_Median",3,"Ensemble",84,2.18418980024176,0.814994314380961,-0.0544834102433759,-0.33039527117426,"cumulative_arithmetic_change",2.18418980024176,0.814994314380961,-0.0544834102433759,15.56307034975,648.190964101147,,,,
"RandomForest",3,"Tree",84,2.20153857737103,0.881951124338624,-0.146691931216931,-0.35598717328539,"cumulative_arithmetic_change",2.20153857737103,0.881951124338624,-0.146691931216931,16.8174923084156,654.486573050917,,,,
"Ridge",3,"Regularization",84,2.39104335130502,0.837842745173368,-0.0791054173226888,-0.240431355500142,"cumulative_arithmetic_change",2.39104335130502,0.837842745173368,-0.0791054173226888,15.5147611313215,649.844676100582,,,,
"Factor",3,"Factor",84,2.39519127705212,0.928495259460512,-0.0455179039674265,-0.0405033791319733,"cumulative_arithmetic_change",2.39519127705212,0.928495259460511,-0.0455179039674265,18.0109490629314,661.036935059922,,,,
"Ensemble_InvRMSE",3,"Ensemble",84,2.61236715494963,0.970648649266341,-0.242168399192062,-0.379476651865805,"cumulative_arithmetic_change",2.61236715494963,0.970648649266341,-0.242168399192062,17.1088296175827,658.729293268341,,,,
"Ensemble_Mean",3,"Ensemble",84,2.61428925673726,1.02765869186496,-0.264107157696104,-0.369356103634347,"cumulative_arithmetic_change",2.61428925673726,1.02765869186496,-0.264107157696104,18.6616309140939,666.256174078867,,,,
"AR(4)",3,"Baseline",84,2.62154460406641,1.002955257262,-0.192192136253668,-0.369565421328332,"cumulative_arithmetic_change",2.62154460406641,1.002955257262,-0.192192136253668,17.8355997492417,664.812826010859,,,,
"ElasticNet",3,"Regularization",84,4.82569169650981,1.9810155555881,-0.938688305636013,-0.359180050253699,"cumulative_arithmetic_change",4.82569169650981,1.9810155555881,-0.938688305636013,35.084214849312,874.740417201282,,,,
"LASSO",3,"Regularization",84,4.9502655958494,2.03049011826061,-0.898530065986841,-0.342268862562633,"cumulative_arithmetic_change",4.9502655958494,2.03049011826061,-0.898530065986841,36.4829419991948,904.122806633405,,,,
"RW",6,"Baseline",87,2.44733023667758,1.10344827586207,0.0367816091954023,,"cumulative_arithmetic_change",2.44733023667758,1.10344827586207,0.0367816091954023,22.5960031322307,74.4650270877142,,,,
"XGBoost",6,"Boosting",87,2.55878720699144,1.14846987440197,-0.0122917928037116,-0.310788879199732,"cumulative_arithmetic_change",2.55878720699144,1.14846987440197,-0.0122917928037116,22.7632003249827,74.765678449625,,,,
"RandomForest",6,"Tree",87,2.67354740132245,1.33013809067688,-0.253958908045977,-0.305631565491544,"cumulative_arithmetic_change",2.67354740132245,1.33013809067688,-0.253958908045977,26.6412848674196,83.5986799103703,,,,
"BorutaRF",6,"FeatureSelection+Tree",87,2.70162518186044,1.4561467752235,-0.334730172413793,-0.0972782081762661,"cumulative_arithmetic_change",2.70162518186044,1.4561467752235,-0.334730172413793,31.1305886575018,96.3978145480067,,,,
"Ensemble_Mean",6,"Ensemble",87,2.79105724562387,1.174155843175,-0.109834249599123,-0.315868140147701,"cumulative_arithmetic_change",2.79105724562387,1.174155843175,-0.109834249599123,22.608148081406,74.719039145681,,,,
"Ensemble_InvRMSE",6,"Ensemble",87,2.79133804201402,1.17717549949694,-0.116777313033245,-0.31452956676942,"cumulative_arithmetic_change",2.79133804201402,1.17717549949694,-0.116777313033245,22.6882529471595,74.9035969533301,,,,
"Ensemble_Median",6,"Ensemble",87,2.91579329071589,1.23544255317268,-0.0742624134946609,-0.393004297445469,"cumulative_arithmetic_change",2.91579329071589,1.23544255317268,-0.0742624134946609,23.615079602537,76.8141377015644,,,,
"Ridge",6,"Regularization",87,2.92528171739223,1.18387939283244,-0.0379902304773299,-0.325948941291713,"cumulative_arithmetic_change",2.92528171739223,1.18387939283244,-0.0379902304773299,22.9062431558958,75.4429374486939,,,,
"ElasticNet",6,"Regularization",87,3.1630813837548,1.36784935714228,-0.11492520051864,-0.128306391558093,"cumulative_arithmetic_change",3.1630813837548,1.36784935714228,-0.11492520051864,25.4821561388535,81.6814851157496,,,,
"LASSO",6,"Regularization",87,3.22906987774072,1.39122356870923,-0.1381014559133,-0.154404216237413,"cumulative_arithmetic_change",3.22906987774072,1.39122356870923,-0.1381014559133,25.654800246171,82.1035943533889,,,,
"Factor",6,"Factor",87,3.53437913420213,1.2849885914145,-0.0247004049527834,-0.133384149371136,"cumulative_arithmetic_change",3.53437913420213,1.2849885914145,-0.0247004049527835,25.2654052916762,81.3999176822637,,,,
"AR(4)",6,"Baseline",87,3.59739052052712,1.52043753460095,-0.108591690461976,-0.402475319651126,"cumulative_arithmetic_change",3.59739052052712,1.52043753460095,-0.108591690461976,27.0748169332419,84.1255958598374,,,,
"RW",12,"Baseline",89,2.741237315971,1.52359550561798,0.053932584269663,,"cumulative_arithmetic_change",2.741237315971,1.52359550561798,0.053932584269663,31.5988846582162,31.5988846582162,,,,
"XGBoost",12,"Boosting",89,2.85736992007455,1.5278537468366,0.0694665600314182,-0.214802929158487,"cumulative_arithmetic_change",2.85736992007455,1.5278537468366,0.0694665600314182,31.0166991087019,31.0166991087019,,,,
