"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message"
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","ElasticNet","Regularization",84,0.545378761646324,3,TRUE,,0.3058,0.778,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","BorutaRF","FeatureSelection+Tree",84,0.550774007815944,4,TRUE,,0.778,0.778,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","Ensemble_Median","Ensemble",84,0.563596684572546,5,TRUE,,0.3918,0.5922,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","Ensemble_InvRMSE","Ensemble",84,0.570441598345706,6,TRUE,,0.3414,0.5162,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","RandomForest","Tree",84,0.573947838505885,7,TRUE,,0.529,0.5922,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","Ensemble_Mean","Ensemble",84,0.575312577068526,8,TRUE,,0.4342,0.4342,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","XGBoost","Boosting",84,0.57830720865117,9,TRUE,,0.5922,0.5922,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","Factor","Factor",84,0.582653418407146,10,TRUE,,0.7064,0.7064,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","Ridge","Regularization",84,0.600959251919755,11,TRUE,,0.5162,0.5162,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE","RW","Baseline",84,0.990011904761911,12,FALSE,,0,0,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",
