"target_code","target_name","track","track_label","horizon","forecast_number","origin_date","seed","selection_source","n_selected","max_runs","feature"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"BUSINVx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CES0600000007_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"COMPAPFFx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CPIAUCSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CPIAUCSL_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CPITRNSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CPIULFSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CUSR0000SA0L2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CUSR0000SA0L5_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"CUSR0000SAC_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"DNDGRG3M086SBEA_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"GS1_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"IPBUSEQ_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"M2REAL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"OILPRICEx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"PC2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"PC3_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"PCEPI_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"RETAILx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"T1YFFM_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"T1YFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"T1YFFM_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"T5YFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"T5YFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"TB3SMFFM_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"TB6SMFFM_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"TB6SMFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"TB6SMFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"VIXCLSx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"WPSFD49207_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"WPSFD49502_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,7,2019-05-01,21161723,"boruta_confirmed",36,100,"WPSID61_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"AWHMAN_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"COMPAPFFx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CPIAUCSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CPIAUCSL_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CPITRNSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CPIULFSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CUSR0000SA0L2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CUSR0000SA0L5_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"CUSR0000SAC_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"DNDGRG3M086SBEA_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"OILPRICEx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"PC2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"PC3_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"PCEPI_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"PERMITMW_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"RETAILx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"TB6MS_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"TB6SMFFM_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"TB6SMFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"USFIRE_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"WPSFD49207_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"WPSFD49502_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,13,2019-11-01,21161729,"boruta_confirmed",23,100,"WPSID61_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"BOGMBASE_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"BUSINVx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CMRMTSPLx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"COMPAPFFx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CPIAUCSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CPITRNSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CPIULFSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CUMFNS_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CUSR0000SA0L2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CUSR0000SA0L5_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"CUSR0000SAC_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"DNDGRG3M086SBEA_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"IPBUSEQ_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"M1SL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"M2REAL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"OILPRICEx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"PC2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"PC3_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"PC4_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"PC4_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"PCEPI_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"PERMITMW_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"RETAILx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"S&P 500_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"S&P div yield_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"TOTRESNS_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"VIXCLSx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,19,2020-05-01,21161735,"boruta_confirmed",30,100,"WPSFD49207_L0"
